Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode
DFI,Department for Infrastructure,21/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1201,"£101,706.00",BT2 7LX
DFI,Department for Infrastructure,21/07/2026,C - Managed Services,TETRA TECH CONSULTING LTD,30211093,"£66,520.46",OX14 4RY
DFI,DVA,21/07/2026,Fixed Asset Clearing Account,MAHA IRELAND LTD,43555,"£63,905.03",IE
DFI,Department for Infrastructure,21/07/2026,C - Contract Other Services,YUNEX LTD,7200023476,"£52,291.57",BH17 7ER
DFI,Department for Infrastructure,21/07/2026,C - Contract Other Services,YUNEX LTD,7200023479,"£48,620.29",BH17 7ER
DFI,Department for Infrastructure,21/07/2026,A - Managed Services - Technical,ATKINS REALIS UK LTD,50106469,"£40,317.52",WR5 1TX
DFI,Department for Infrastructure,21/07/2026,A - Campaign Advertising,ARDMORE ADVERTISING LIMITED,033536,"£39,864.00",BT18 9JQ
DFI,Department for Infrastructure,21/07/2026,Cost Pass-Through Control,YUNEX LTD,7200023472,"£33,045.36",BH17 7ER
DFI,Department for Infrastructure,21/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-965,"£29,559.00",BT3 9BG
DFI,Department for Infrastructure,21/07/2026,Cost Pass-Through Control,YUNEX LTD,7200023475,"£29,165.35",BH17 7ER
DFI,DVA,21/07/2026,P - Credit Card Transaction Costs,WORLDPAY (UK) LTD,37886728-JUN2026,"£26,901.16",NE11 0EL
DFI,Department for Infrastructure,21/07/2026,A - Service Charges - Property,DEPARTMENT FOR INFRASTRUCTURE,DVA2627012,"£25,299.73",BT1 4NN
DFI,Department for Infrastructure,22/07/2026,P - Contract Roads,GREENTOWN ENVIRONMENTAL LTD,15433,"£153,077.40",BT92 1DE
DFI,Department for Infrastructure,22/07/2026,P - Contract Roads,FP MCCANN LTD,67436,"£94,021.66",BT45 8QA
DFI,Department for Infrastructure,22/07/2026,C - Contract Other Services,COLAS (NI),38830,"£81,398.86",BT24 8AE
DFI,Department for Infrastructure,22/07/2026,C - Contract Other Services,FP MCCANN LTD,67439,"£68,552.65",BT45 8QA
DFI,Department for Infrastructure,22/07/2026,P - Contract Roads,GREENTOWN ENVIRONMENTAL LTD,15434,"£62,807.76",BT92 1DE
DFI,Department for Infrastructure,22/07/2026,P - Contract Roads,COLAS (NI),38830,"£59,376.84",BT24 8AE
DFI,Department for Infrastructure,22/07/2026,P - Software Maintenance - Contract,CIVICA UK LTD,C/MM358657,"£57,075.00",SE1 9LQ
DFI,Department for Infrastructure,22/07/2026,C - Managed Services,AECOM LIMITED,28628116,"£51,560.17",AL1 3JX
DFI,Department for Infrastructure,22/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6245,"£48,927.77",BT34 5TJ
DFI,Department for Infrastructure,22/07/2026,P - Contract Roads,FP MCCANN LTD,67434,"£39,227.30",BT45 8QA
DFI,DVA,22/07/2026,P - Medical Fees,3FIVETWO HEALTHCARE,GI15128,"£37,943.00",BT9 5UB
DFI,Department for Infrastructure,22/07/2026,Subsidies to the Private sector (Current),DOWN ARMAGH RURAL TRANSPORT*GRANTEE,ERS-DFI-EF00265292-ERS-92,"£35,000.00",BT63 5ZF
DFI,Department for Infrastructure,22/07/2026,P - Contract Roads,MID ULSTER DISTRICT COUNCIL,19808,"£29,891.06",BT45 6EN
DFI,Department for Infrastructure,22/07/2026,P - Contract Roads,FP MCCANN LTD,67438,"£27,622.38",BT45 8QA
DFI,Department for Infrastructure,23/07/2026,P - Contract Roads,APCOA PARKING UK LIMITED,335481,"£766,269.10",UB81HE
DFI,Department for Infrastructure,23/07/2026,C - Managed Services,WSP GROUP,50150464,"£492,093.84",RG21 4HJ
DFI,Department for Infrastructure,23/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67300,"£319,722.96",BT45 8QA
DFI,Department for Infrastructure,23/07/2026,Cost Pass-Through Control,KEENAN P (CONTRACTOR),047-T-1118-03,"£145,948.92",BT45 8QE
